Region,Year,Month,SoilTemperature-10,SoilTemperature-30,SoilTemperature-50,Rainfall,Temperature,Min Temperature,Max Temperature,Humidity,Sunshine,Wind Speed,Surface Pressure,Solar Radiation
0,2005,8,30.60,30.41,30.75,194.00,28.50,26.23,31.66,91.65,2.89,2.99,100100.28,161.63
0,2005,9,30.82,30.78,30.96,410.00,28.51,25.98,32.27,93.03,4.19,2.34,100497.70,158.29
0,2005,10,29.18,29.33,29.68,420.00,27.17,24.31,31.35,88.71,5.35,1.78,100975.59,151.24
0,2005,11,24.29,25.54,26.37,0.00,23.11,18.44,29.62,88.70,7.85,1.79,101194.76,190.24
0,2005,12,19.93,21.44,22.37,0.00,19.60,14.03,27.18,85.23,7.82,2.23,101296.74,177.02
0,2006,1,18.59,19.82,20.76,0.00,18.14,12.15,26.32,83.03,7.73,2.15,101359.28,200.93
0,2006,2,23.70,23.82,23.93,0.00,24.10,18.43,31.53,81.43,8.41,2.21,101131.53,225.81
0,2006,3,27.44,27.54,27.40,5.00,26.42,20.98,33.23,79.39,8.14,2.18,100898.38,255.01
0,2006,4,30.57,30.37,30.02,19.00,28.69,24.10,34.05,77.20,7.40,3.11,100629.31,247.34
0,2006,5,30.94,31.10,31.00,230.00,28.88,25.41,33.56,80.06,5.98,2.73,100421.96,208.42
0,2006,6,31.52,31.09,31.11,262.00,29.06,26.62,32.46,79.33,3.38,3.24,100168.62,184.81
0,2006,7,30.82,30.79,30.93,522.00,28.36,26.22,31.30,88.58,3.80,3.66,99954.88,152.34
0,2006,8,30.60,30.54,30.65,364.00,28.15,25.92,31.58,89.90,4.42,3.73,100153.33,166.69
0,2006,9,30.31,30.47,30.71,579.00,28.23,25.88,31.92,88.67,5.15,2.85,100548.98,175.18
0,2006,10,29.44,29.77,30.13,79.00,27.50,24.41,32.37,88.81,6.03,1.51,101036.85,185.43
0,2006,11,25.87,26.82,27.49,1.00,23.60,19.36,29.79,87.43,6.88,1.84,101230.16,173.88
0,2006,12,21.17,22.48,23.65,0.00,19.52,13.89,27.33,85.32,7.89,1.82,101438.32,183.05
0,2007,1,18.60,19.72,20.79,0.00,17.10,11.18,25.35,81.61,7.20,1.98,101529.17,201.78
0,2007,2,22.34,22.75,23.12,54.00,21.15,16.02,27.78,81.43,6.94,1.69,101314.34,196.50
0,2007,3,29.30,29.15,29.03,14.00,24.62,18.42,31.89,82.16,8.57,1.99,101005.27,259.15
0,2007,4,30.82,30.42,30.27,92.00,28.07,23.83,33.42,71.70,6.84,3.42,100757.63,236.24
0,2007,5,29.72,29.70,29.83,119.00,29.38,25.71,33.97,76.00,7.40,2.53,100331.22,216.41
0,2007,6,30.78,30.58,30.70,374.00,28.72,26.26,32.41,79.53,4.05,3.76,100104.33,163.02
0,2007,7,29.88,29.81,30.07,591.00,27.95,25.88,30.93,85.45,2.19,3.61,100041.16,143.96
0,2007,8,28.68,28.88,29.41,160.00,28.68,26.37,32.11,88.42,4.45,3.02,100087.03,174.53
0,2007,9,25.83,26.73,27.47,397.00,27.98,25.78,31.18,88.80,3.39,2.91,100334.88,141.32
0,2007,10,20.33,21.90,23.02,197.00,26.83,23.59,31.52,90.03,6.64,1.60,100790.45,177.93
0,2007,11,30.71,30.50,30.58,113.00,24.00,20.22,29.61,88.40,6.64,1.96,101137.56,167.68
0,2007,12,25.10,25.10,25.22,0.00,19.07,13.94,26.36,86.55,5.35,2.04,101312.79,178.63
0,2008,1,19.55,20.49,21.41,66.00,18.53,13.18,25.56,81.45,6.48,2.11,101290.67,181.41
0,2008,2,20.83,21.41,21.92,36.00,19.86,14.22,26.82,80.66,7.60,2.00,101288.38,219.12
0,2008,3,27.11,26.69,26.53,48.00,26.40,21.89,32.11,79.58,6.90,2.27,100841.61,234.93
0,2008,4,30.34,30.18,29.78,36.00,28.56,23.97,34.33,76.83,8.76,2.94,100590.95,271.64
0,2008,5,31.92,32.21,31.92,151.00,29.59,25.43,34.74,77.35,7.53,2.73,100232.98,232.24
0,2008,6,30.16,30.50,30.72,190.00,28.13,25.98,31.61,80.23,2.93,3.69,100027.18,162.55
0,2008,7,30.04,30.04,30.24,301.00,27.85,25.90,30.95,83.77,2.75,3.49,100025.26,138.46
0,2008,8,30.18,30.43,30.58,202.00,28.37,26.12,31.73,88.94,4.14,3.52,100180.47,166.18
0,2008,9,30.33,30.38,30.61,379.00,28.40,25.80,32.15,87.83,5.01,2.62,100416.56,166.19
0,2008,10,28.68,29.22,29.63,187.00,26.82,23.45,31.56,88.23,6.77,1.87,100877.42,176.03
0,2008,11,24.48,25.57,26.38,0.00,23.28,18.42,29.71,87.30,8.61,1.66,101163.57,194.11
0,2008,12,21.47,22.62,23.65,0.00,19.85,15.44,26.30,85.42,6.11,1.60,101333.82,162.34
0,2009,1,19.64,20.68,21.65,1.00,19.07,13.63,26.68,83.06,6.81,1.90,101436.72,190.24
0,2009,2,21.23,21.76,22.26,6.00,22.09,15.95,30.01,86.29,8.47,2.44,101078.15,233.14
0,2009,3,20.75,22.00,22.51,10.00,26.06,21.13,33.07,81.10,7.51,2.11,100897.16,246.88
0,2009,4,24.06,24.20,24.31,23.00,29.19,25.10,34.40,75.30,8.77,3.28,100566.68,256.76
0,2009,5,26.20,26.62,26.71,130.00,29.40,25.65,34.39,76.84,7.20,3.15,100327.16,225.76
0,2009,6,27.23,27.45,27.36,233.00,29.97,27.00,34.05,78.53,6.43,3.70,100012.23,199.61
0,2009,7,29.42,29.51,29.20,347.00,28.24,26.15,31.46,79.61,3.66,3.84,99943.85,160.98
0,2009,8,31.09,30.71,30.53,568.00,28.50,26.13,32.03,83.13,3.97,3.04,100258.34,151.76
0,2009,9,31.09,31.19,30.94,357.00,28.50,26.08,32.55,88.43,5.31,2.83,100394.44,149.71
0,2009,10,31.32,31.14,30.96,111.00,26.88,23.30,32.19,88.90,7.13,2.03,100813.30,181.27
0,2009,11,32.32,31.69,31.48,20.00,23.79,19.34,30.45,87.27,7.67,1.67,101160.15,178.58
